,location,latitude,longitude,fatality_count
311,"Calimesa, CA",34.0039039,-117.0619755,1
312,"Callahan, FL",30.562180699999995,-81.8306621,1
313,"Camarillo, CA",34.216393700000005,-119.0376023,1
314,"Camden, NJ",39.9259463,-75.1196199,3
315,"Camp Croft, SC",34.91068189999999,-81.85288,1
316,"Camp Wood, TX",29.6693924,-100.0122911,1
317,"Campbellton, TX",28.747482,-98.3025107,1
318,"Campbelltown, PA",40.2775915,-76.5852462,1
319,"Campo, CA",32.60757950000001,-116.4697321,1
320,"Campobello, SC",35.115671299999995,-82.15011120000001,1
321,"Canaan Township, PA",41.5605542,-75.35287790000002,1
322,"Canaan, NH",43.6809381,-72.05188829999999,1
323,"Canandaigua, NY",42.887535,-77.28169840000002,1
324,"Canton Township, PA",40.218128,-80.3101684,1
325,"Canton, NC",35.5328838,-82.8373558,1
326,"Canton, OH",40.79894729999999,-81.378447,1
327,"Cantonment, FL",30.6053644,-87.34464919999998,1
328,"Canutillo, TX",31.9114925,-106.6002687,1
329,"Cape Canaveral, FL",28.3922182,-80.60771319999998,1
330,"Cape Coral, FL",26.5628537,-81.94953309999998,2
331,"Cape Girardeau, MO",37.3058839,-89.51814759999998,1
332,"Capitol Heights, MD",38.8851122,-76.9158068,1
333,"Carlsbad, NM",32.4206736,-104.2288375,2
334,"Carmichael, CA",38.617127,-121.3282843,2
335,"Carnesville, GA",34.3698266,-83.23515499999998,1
336,"Carollwood, FL",28.0544223,-82.5131717,1
337,"Carrizozo, NM",33.6417408,-105.877212,1
338,"Carroll County, GA",33.5642239,-85.0649071,1
339,"Carrollton, GA",33.580110299999994,-85.0766113,2
340,"Carrollton, TX",32.975641499999995,-96.8899636,2
341,"Carson City, NV",39.1637984,-119.7674034,3
342,"Carson, CA",33.8316745,-118.281693,1
343,"Carter County, KY",38.3204714,-83.03613759999998,1
344,"Cartersville, GA",34.1650972,-84.7999382,2
345,"Carthage, TN",36.2522766,-85.951654,1
346,"Cary, NC",35.79154000000001,-78.78111690000001,1
347,"Casa Grande, AZ",32.9110027,-111.7733902,2
348,"Casper, WY",42.8500769,-106.3251749,5
349,"Casselberry, FL",28.677775,-81.3278455,1
350,"Castaic, CA",34.489036299999995,-118.6256552,1
351,"Cathedral City, CA",33.780538799999995,-116.4668036,3
352,"Cato Township, MI",43.443107,-85.2515482,1
353,"Catoosa, OK",36.188987,-95.74581700000002,2
354,"Cave Junction, OR",42.1628912,-123.6481235,1
355,"Cayce, SC",33.96570910000001,-81.0739827,1
356,"Cañon City, CO",38.4494063,-105.2253316,1
357,"Cedar Hill, TX",32.5884689,-96.9561152,1
358,"Cedar Lake, TX",28.9010869,-95.6368955,1
359,"Cedar Rapids, IA",41.9778795,-91.6656232,2
360,"Cedartown, GA",34.0112715,-85.25658229999998,1
361,"Celina, OH",40.5489358,-84.5702338,1
362,"Centennial, CO",39.5807452,-104.8771726,5
363,"Centerville, UT",40.9180005,-111.8721601,1
364,"Centralia, WA",46.7162136,-122.9542972,1
365,"Ceres, CA",37.5949316,-120.9577098,3
366,"Cerritos, CA",33.8583483,-118.0647871,2
367,"Chalmette, LA",29.942783,-89.9635162,1
368,"Chambersburg, PA",39.9375911,-77.6611022,1
369,"Chamblee, GA",33.8920468,-84.29881259999998,1
370,"Chandler, AZ",33.3061605,-111.8412502,3
371,"Chanhassen, MN",44.861964500000006,-93.5323103,1
372,"Channelview, TX",29.7760599,-95.1146533,1
373,"Chapeno, TX",26.534403,-99.154991,1
374,"Charleston View, CA",35.96833,-115.89417,1
375,"Charleston, SC",32.776474900000004,-79.93105120000001,1
376,"Charleston, TN",35.2872952,-84.7582743,1
377,"Charleston, WV",38.3498195,-81.6326234,5
378,"Charlotte, NC",35.2270869,-80.8431267,15
379,"Charlottesville, VA",38.0293059,-78.47667810000002,1
380,"Charlottte, NC",35.2270869,-80.8431267,1
381,"Chatham County, GA",31.9994194,-81.1196075,1
382,"Chatsworth, CA",34.2506356,-118.61481,1
383,"Chattanooga, TN",35.0456297,-85.3096801,5
384,"Chavies, KY",37.3478702,-83.3562912,1
385,"Cheatham County, TN",36.184749,-87.10237459999998,1
386,"Cheektowaga, NY",42.9071477,-78.7542892,1
387,"Cheney, WA",47.4873895,-117.5757622,1
388,"Chesapeake, VA",36.7682088,-76.2874927,2
389,"Chester, PA",39.849557,-75.3557457,3
390,"Chester, SC",34.7048613,-81.2142561,1
391,"Chester, VA",37.3568157,-77.4416505,1
392,"Chesterfield County, SC",34.6830936,-80.14285840000002,1
393,"Chestertown, MD",39.21886629999999,-76.0690036,1
394,"Chetopa, KS",37.0372916,-95.0899613,1
395,"Cheyenne, WY",41.1399814,-104.8202462,2
396,"Chicago, IL",41.8781136,-87.62979820000002,34
397,"Chickasha, OK",35.052565,-97.93643259999999,4
398,"Chico, CA",39.7284944,-121.8374777,4
399,"Childress, TX",34.4264529,-100.2040019,1
400,"Chinle, AZ",36.15444829999999,-109.5526072,1
401,"Chino Hills, CA",33.989818799999995,-117.7325848,1
402,"Chino, CA",34.0122346,-117.688944,2
403,"Chowchilla, CA",37.1229997,-120.2601754,1
404,"Christian County, KY",36.8410586,-87.460397,1
405,"Chula Vista, CA",32.6400541,-117.0841955,2
406,"Church Hill, TN",36.52232070000001,-82.7134921,2
407,"Cincinnati, OH",39.1031182,-84.5120196,7
408,"Cinco Ranch, TX",29.7388418,-95.7580048,2
409,"Circleville, OH",39.600618,-82.94601329999998,1
410,"Cisco, TX",32.38818610000001,-98.97923359999999,1
411,"Citra, FL",29.41191659999999,-82.10981559999998,1
412,"Citronelle, AL",31.0907338,-88.2280622,1
413,"Citrus Heights, CA",38.7071247,-121.2810611,4
414,"City Terrace, CA",34.050011600000005,-118.18284950000002,1
415,"Clackamas County, OR",45.2023855,-122.1188945,2
416,"Claiborne County, TN",36.4830423,-83.63484299999998,1
417,"Clanton, AL",32.8387371,-86.6294262,2
418,"Claremont, NH",43.3728635,-72.33787439999998,1
419,"Clarendon, NY",43.193393,-78.06473869999998,1
420,"Clark County, WI",44.8480735,-90.7532809,1
421,"Clarkesville, GA",34.6125971,-83.5248933,1
422,"Clarksburg, WV",39.2806451,-80.34453409999998,1
423,"Clarksdale, MS",34.2001086,-90.5709323,1
424,"Clarksville, AR",35.4714724,-93.46657309999999,1
425,"Clarksville, IN",38.29673620000001,-85.759963,1
426,"Clarksville, TN",36.5297706,-87.3594528,4
427,"Clarksville, TX",33.6106648,-95.052722,1
428,"Clay, AL",33.7026013,-86.5997096,1
429,"Claymont, DE",39.8006685,-75.45964040000001,1
430,"Clayton, GA",34.8781479,-83.4009933,1
431,"Cle Elum, WA",47.1953976,-120.9392489,1
432,"Clear Creek Canyon, CO",39.73957619999999,-105.32217040000002,1
433,"Clearfield, UT",41.1107771,-112.0260538,1
434,"Clearlake Park, CA",38.9947567,-122.702607,1
435,"Clearwater, FL",27.9658533,-82.8001026,3
436,"Clendenin, WV",38.4887089,-81.3481745,1
437,"Clermont, FL",28.5494447,-81.77285429999998,2
438,"Cleveland, OH",41.49932,-81.6943605,6
439,"Clinton, IL",40.1536479,-88.9645253,1
440,"Clinton, LA",30.8657362,-91.0156594,1
441,"Clinton, MD",38.7651145,-76.8983059,1
442,"Clinton, MO",38.3686324,-93.7782689,1
443,"Clinton, MS",32.3415342,-90.3217585,1
444,"Clinton, NC",34.9979453,-78.32333249999998,1
445,"Clinton, TN",36.1034126,-84.1318632,2
446,"Clinton, UT",41.139666,-112.0504983,1
447,"Cloverdale, CA",38.8054624,-123.0172227,1
448,"Clovis, CA",36.8252277,-119.7029194,1
449,"Clovis, NM",34.4047987,-103.2052272,1
450,"Clute, TX",29.024690600000003,-95.3988291,1
451,"Coal County, OK",34.568577000000005,-96.2800864,1
452,"Coalinga, CA",36.139678,-120.3601496,1
453,"Cobb County, GA",33.8999297,-84.56414699999998,2
454,"Cochran County, TX",33.5643803,-102.8975098,1
455,"Cochran, GA",32.3868278,-83.35460979999998,1
456,"Cocke County, TN",35.93595170000001,-83.12200740000002,1
457,"Cocoa Beach, FL",28.3200067,-80.6075513,1
458,"Cocoa, FL",28.3861159,-80.7419984,2
459,"Coeur d'Alene, ID",47.67346320000001,-116.7812225,1
460,"Cofield, NC",36.35654359999999,-76.90995769999998,1
461,"Cohasset, MN",47.2640071,-93.6221657,1
462,"Colbert, OK",33.853156799999994,-96.5024916,1
463,"Colby, KS",39.3958369,-101.0523773,1
464,"Colebrook Township, OH",41.5357732,-80.76261520000001,1
465,"Coleman, FL",28.7997103,-82.07008559999998,1
466,"Collierville, TN",35.042036,-89.66452659999999,1
467,"Colorado City, CO",37.9452861,-104.8352628,2
468,"Colorado Springs, CO",38.8338816,-104.8213634,15
469,"Colton, CA",34.0739016,-117.3136547,2
470,"Colton, OR",45.1721192,-122.4374803,1
